PERMNO,date,TICKER,PRC
90993,20170331,ICE,59.87
90993,20170428,ICE,60.2
90993,20170531,ICE,60.19
90993,20170630,ICE,65.92
90993,20170731,ICE,66.71
90993,20170831,ICE,64.67
90993,20170929,ICE,68.7
90993,20171031,ICE,66.1
90993,20171130,ICE,71.45
90993,20171229,ICE,70.56
90993,20180131,ICE,73.84
90993,20180228,ICE,73.08
90993,20180329,ICE,72.52
90993,20180430,ICE,72.46
90993,20180531,ICE,70.89
90993,20180629,ICE,73.55
90993,20180731,ICE,73.91
90993,20180831,ICE,76.23
90993,20180928,ICE,74.89
90993,20181031,ICE,77.04
90993,20181130,ICE,81.72
90993,20181231,ICE,75.33
91041,20130131,LYV,10.26
91041,20130228,LYV,10.59
91041,20130328,LYV,12.37
91041,20130430,LYV,12.63
91041,20130531,LYV,13.61
91041,20130628,LYV,15.5
91041,20130731,LYV,16.38
91041,20130830,LYV,16.86
91041,20130930,LYV,18.55
91041,20131031,LYV,19.44
91041,20131129,LYV,18.37
91041,20131231,LYV,19.76
91041,20140131,LYV,21.27
91041,20140228,LYV,22.69
91041,20140331,LYV,21.75
91041,20140430,LYV,20.88
91041,20140530,LYV,23.72
91041,20140630,LYV,24.69
91041,20140731,LYV,23.21
91041,20140829,LYV,21.96
91041,20140930,LYV,24.02
91041,20141031,LYV,26
91041,20141128,LYV,26.8
91041,20141231,LYV,26.11
91041,20150130,LYV,23.77
91041,20150227,LYV,25.59
91041,20150331,LYV,25.23
91041,20150430,LYV,25.06
91041,20150529,LYV,28.6
91041,20150630,LYV,27.49
91041,20150731,LYV,26.22
91041,20150831,LYV,24.62
91041,20150930,LYV,24.04
91041,20151030,LYV,27.28
91041,20151130,LYV,25.39
91041,20151231,LYV,24.57
91041,20160129,LYV,22.7
91041,20160229,LYV,21.99
91041,20160331,LYV,22.31
91041,20160429,LYV,21.48
91041,20160531,LYV,24.15
91041,20160630,LYV,23.5
91041,20160729,LYV,27.42
91041,20160831,LYV,26.72
91041,20160930,LYV,27.48
91041,20161031,LYV,27.67
91041,20161130,LYV,27.68
91041,20161230,LYV,26.6
91041,20170131,LYV,28.62
91041,20170228,LYV,28.41
91041,20170331,LYV,30.37
91041,20170428,LYV,32.16
91041,20170531,LYV,34.49
91041,20170630,LYV,34.85
91041,20170731,LYV,37.27
91041,20170831,LYV,39.96
91041,20170929,LYV,43.55
91041,20171031,LYV,43.78
91041,20171130,LYV,45.38
91041,20171229,LYV,42.57
91041,20180131,LYV,45.06
91041,20180228,LYV,44.8
91041,20180329,LYV,42.14
91041,20180430,LYV,39.47
91041,20180531,LYV,42.63
91041,20180629,LYV,48.57
91041,20180731,LYV,49.28
91041,20180831,LYV,49.68
91041,20180928,LYV,54.47
91041,20181031,LYV,52.3
91041,20181130,LYV,55.68
91041,20181231,LYV,49.25
91068,20130131,CMG,307.01001
91068,20130228,CMG,316.79001
91068,20130328,CMG,325.87
91068,20130430,CMG,363.19
91068,20130531,CMG,361
91068,20130628,CMG,364.35001
91068,20130731,CMG,412.26999
91068,20130830,CMG,408.17001
91068,20130930,CMG,428.80399
91068,20131031,CMG,526.96997
91068,20131129,CMG,523.85999
91068,20131231,CMG,532.78003
91068,20140131,CMG,551.96002
91068,20140228,CMG,565.21002
91068,20140331,CMG,568.04999
91068,20140430,CMG,498.5
91068,20140530,CMG,547.09003
91068,20140630,CMG,592.51001
91068,20140731,CMG,672.5
91068,20140829,CMG,678.65002
91068,20140930,CMG,666.59003
